Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF","C_0603_1608Metric",33.200000,-67.200000,0.000000,top
"C2","100nF","C_0603_1608Metric",43.200000,-60.000000,90.000000,top
"C3","4.7uF","C_0603_1608Metric",33.200000,-54.800000,0.000000,top
"C4","100nF","C_0603_1608Metric",33.200000,-52.800000,0.000000,top
"C5","4.7uF","C_0603_1608Metric",46.600000,-57.400000,0.000000,top
"C6","100nF","C_0603_1608Metric",45.800000,-59.400000,0.000000,top
"C7","4.7uF","C_0603_1608Metric",47.400000,-63.000000,0.000000,top
"C8","100nF","C_0603_1608Metric",44.000000,-63.000000,0.000000,top
"C9","4.7uF","C_0603_1608Metric",34.500000,-50.700000,0.000000,top
"C10","4.7uF","C_0603_1608Metric",38.000000,-50.700000,0.000000,top
"C11","4.7uF","C_0603_1608Metric",34.500000,-48.000000,0.000000,top
"D1","USBLC6-2SC6","SOT-23-6",40.000000,-64.400000,90.000000,top
"J1","TYPE-C-31-M-12","USB_C_Receptacle_HRO_TYPE-C-31-M-12",40.000000,-75.850000,0.000000,top
"J2","KH-2.54PH180-1X6P-L11.5","PinHeader_1x06_P2.54mm_Vertical",33.650000,-40.500000,90.000000,top
"Q1","AO3401A","SOT-23",46.000000,-54.000000,0.000000,top
"Q2","AO3401A","SOT-23",46.000000,-50.200000,0.000000,top
"Q3","AO3400A","SOT-23",41.800000,-50.300000,0.000000,top
"R1","5.1k","R_0603_1608Metric",36.400000,-69.200000,180.000000,top
"R2","5.1k","R_0603_1608Metric",43.600000,-69.200000,0.000000,top
"R3","1k","R_0603_1608Metric",38.000000,-48.000000,0.000000,top
"R4","100k","R_0603_1608Metric",46.800000,-69.000000,90.000000,top
"R5","220k","R_0603_1608Metric",46.800000,-65.599999,90.000000,top
"R6","100k","R_0603_1608Metric",49.000000,-50.200000,90.000000,top
"R7","10k","R_0603_1608Metric",49.000000,-54.000000,90.000000,top
"R8","220R","R_0603_1608Metric",41.269999,-44.500000,90.000000,top
"R9","220R","R_0603_1608Metric",43.810000,-44.500000,90.000000,top
"R10","220R","R_0603_1608Metric",46.350000,-44.500000,90.000000,top
"R11","220R","R_0603_1608Metric",36.190000,-44.500000,90.000000,top
"U1","CP2102N-A02-GQFN28R","QFN-28-1EP_5x5mm_P0.5mm_CP2102N",39.750000,-55.400000,90.000000,top
"U2","XC6206P332PR-G","SOT-89-3",33.600000,-59.600000,180.000000,top
